"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Seat Covers & Seat Hardware","Default/53-62/Interior","15","Yes","corvette-seat-covers-seat-hardware","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Interior parts is unsurpassed. Our inventory selection includes original-style seat covers, seat tracks, and mount components, along with seat cover installation components, tools, seat foam, and spring units to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","seat-covers-category.jpg","C1 Corvette Seat Covers & Seat Hardware (1953-1962)","1953-1962 C1 Seat Covers & Seat Hardware","Buy 1953-1962 Corvette Seat Covers & Seat Hardware at Zip. Reproduction C1 Corvette Seat Covers & Seat Hardware in original factory colors.Since 1977.","Yes","Products only","","Yes","","","No layout updates",""
"Sill Plates","Default/53-62/Interior","16","Yes","corvette-sill-plates","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Interior parts is unsurpassed. Our inventory selection includes sill plates, sill plate filler sets, and sill panel wire cover floor plates, along with sill plate screws and sill step plates to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","sill-plates-category.jpg","C1 Corvette Sill Plates (1953-1962)","1953-1962 C1 Corvette Sill Plates","Buy 1953-1962 Corvette Sill Plates at Zip. Reproduction C1 Corvette Sill Plates & Hardware. Excellent Customer Service â€“ Fast Shipping â€“ Since 1977.","Yes","Products only","","Yes","","","No layout updates",""
"Steering Wheel","Default/53-62/Interior","17","Yes","corvette-steering-wheel","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Interior parts is unsurpassed. Our inventory selection includes reproduction steering wheels and steering wheel hubs, along with steering wheel mount kits and hub nuts to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","steering-wheel-category_7.jpg","C1 Corvette Steering Wheel (1953-1962)","1953-1962 C1 Corvette Steering Wheel","Buy 1953-1962 Corvette Steering Wheels at Zip. Reproduction C1 Corvette Steering Wheels,Steering Wheel Hubs, & Wheel Mount Kits. Since 1977.","Yes","Products only","","Yes","","","No layout updates",""
"Sunvisors & Hardware","Default/53-62/Interior","18","Yes","corvette-sunvisors-hardware","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Interior parts is unsurpassed. Our inventory selection includes correct reproduction sunvisors, sunvisor support screws, and sunvisor hardware kits to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","sunvisors-hardware-category.jpg","C1 Corvette Sunvisors & Hardware (1953-1962)","1953-1962 C1 Corvette Sunvisors & Hardware","Buy 1953-1962 Corvette Sunvisors & Hardware at Zip. Low Price Guarantee on all Reproduction C1 Corvette Sunvisors & Hardware. Since 1977.","Yes","Products only","","Yes","","","No layout updates",""
"Trunk Liners & Mats","Default/53-62/Interior","19","Yes","corvette-trunk-liners-mats","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Interior parts is unsurpassed. Our inventory selection includes trunk liners, trunk mats, and trunk liner mounting components to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","trunk-lilners-mats-category.jpg","C1 Corvette Trunk Liners & Mats (1953-1962)","1953-1962 C1 Corvette Trunk Liners & Mats","Buy 1953-1962 Corvette Trunk Liners & Mats at Zip. Low Price Guarantee on all C1 Corvette Trunk Liners & Mats â€“ Fast Shipping â€“ Since 1977.","Yes","Products only","","Yes","","","No layout updates",""
"Adhesives, Cleaners, Oils, Fluids, Additives","Default/53-62/Restoration Supplies","1","Yes","corvette-adhesives-cleaners-additives","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes 3M adhesive cleaner, aerosol cleaner, and weatherstrip adhesive, along with fuel additive, oil additive, power steering conditioner, and spray grease to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","adhesives-cleaners-oils-fluids-additives-category.jpg","C1 Corvette Adhesives, Cleaners, Oils, Fluids, Additives (1953-1962)","1953-1962 C1 Corvette Adhesives, Cleaners, Oils, Fluids, Additives","Buy Corvette Adhesives&#44; Cleaners&#44; Additives online at Zip. Specializing in Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Body Assembly Rivets","Default/53-62/Restoration Supplies","2","Yes","corvette-body-assembly-rivets","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes large flat head rivets and aluminum countersunk rivets, along with aluminum round head rivets, body rivet setting tools and small rivet setting tools to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","body-assembly-rivets-category.jpg","C1 Corvette Body Assembly Rivets (1953-1962)","1953-1962 C1 Corvette Body Assembly Rivets","Buy 1953-1962 Corvette Body Assembly Rivets online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Brake Fluid & Bleeder","Default/53-62/Restoration Supplies","3","Yes","corvette-brake-fluid-bleeder","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes Motive power brake bleeder and bleeding catch bottles, along with Wilwood Racing, DOT 3 brake fluid, and silicone brake fluid to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","brake-fluid-bleeder-category_1.jpg","C1 Corvette Brake Fluid & Bleeder (1953-1962)","1953-1962 C1 Corvette Brake Fluid & Bleeder","Buy Corvette Brake Fluid & Bleeder online at Zip. Specializing in Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Chassis Restoration Kits","Default/53-62/Restoration Supplies","4","Yes","corvette-chassis-restoration-kits","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes chassis restoration kits with frame and driveshaft stencils, red and yellow spray stencil kits, paint crayons, inspection paints, shim tape, and technical bulletins to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","chassis-restoration-kits-category.jpg","C1 Corvette Chassis Restoration Kits (1953-1962)","1953-1962 C1 Corvette Chassis Restoration Kits","Buy 1953-1962 Corvette Chassis Restoration Kits online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Decals","Default/53-62/Restoration Supplies","5","Yes","corvette-decals","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes air cleaner, cooling system, and valve cover decals, along with antenna, radio, and miscellaneous decals to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","valve-cover-decals-category_1.jpg","C1 Corvette Decals (1953-1962)","1953-1962 C1 Corvette Decals","Buy 1953-1962 Corvette Decals online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Paints & Dressings","Default/53-62/Restoration Supplies","7","Yes","corvette-paints-dressings","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes exhaust manifold dressing, headlight actuator dye, Chevrolet engine paint, and wheel paint, along with distributor tag dye, GM touch-up paint, and caliper paint kits to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","paints-dressings-category.jpg","C1 Corvette Paints & Dressings (1953-1962)","1953-1962 C1 Corvette Paints & Dressings","Buy Corvette Paints & Dressings online at Zip. Specializing in Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Speed Nut Kits","Default/53-62/Restoration Supplies","8","Yes","corvette-speed-nut-kits","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes speed nut kits to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","speed-nut-kits-category.jpg","C1 Corvette Speed Nut Kits (1953-1962)","1953-1962 C1 Corvette Speed Nut Kits","Buy 1953-1962 Corvette Speed Nut Kits online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Tools","Default/53-62/Restoration Supplies","9","Yes","corvette-tools","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Restoration Supplies parts is unsurpassed. Our inventory selection includes shock mount removal tools, ball joint rivet fixtures, battery butlers, and spindle removal tools, along with seat cover hog ring pliers, rear spindle wheel bearing pullers, greasing tools, and spindle installation tools to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","tools-category.jpg","C1 Corvette Tools (1953-1962)","1953-1962 C1 Corvette Tools","Buy Corvette Tools online at Zip. Specializing in Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Automatic Transmission","Default/53-62/Shifter & Transmission","1","Yes","corvette-automatic-transmission","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes automatic transmission neutral safety switches and automatic transmission components to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","auto-trans-neutral-safety-switches-category.jpg","C1 Corvette Automatic Transmission (1953-1962)","1953-1962 C1 Corvette Automatic Transmission","Buy 1953-1962 Corvette Automatic Transmission online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Clutch System","Default/53-62/Shifter & Transmission","2","Yes","corvette-clutch-system","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes clutch forks, complete clutch kits, and pedal components, as well as push rods, clutch cross-shafts, bellhousings, front access covers, and flywheels to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","complete-clutch-kit-category.jpg","C1 Corvette Clutch System (1953-1962)","1953-1962 C1 Corvette Clutch System","Buy 1953-1962 Corvette Clutch System online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Manual Transmission","Default/53-62/Shifter & Transmission","3","Yes","corvette-manual-transmission","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes manual transmission individual rebuild components and rebuild kits to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","rebuild-kits-category.jpg","C1 Corvette Manual Transmission (1953-1962)","1953-1962 C1 Corvette Manual Transmission","Buy 1953-1962 Corvette Manual Transmission online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Shifter","Default/53-62/Shifter & Transmission","4","Yes","corvette-shifter","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes manual transmission and automatic transmission shifters, along with bolt-on shifter shafts to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","4-speed-trans-shifter-category.jpg","C1 Corvette Shifter (1953-1962)","1953-1962 C1 Corvette Shifter","Buy 1953-1962 Corvette Shifter online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Speedometer Driven Gears","Default/53-62/Shifter & Transmission","6","Yes","corvette-speedometer-driven-gears","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes manual and automatic speedometer driven gears, along with speedometer steel drive gears, speedometer driven gear retainers, gear sleeves, and o-rings to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","speedometer-driven-gears-category_1.jpg","C1 Corvette Speedometer Driven Gears (1953-1962)","1953-1962 C1 Corvette Speedometer Driven Gears","Buy 1953-1962 Corvette Speedometer Driven Gears online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Transmission Mounts","Default/53-62/Shifter & Transmission","7","Yes","corvette-transmission-mounts","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Shifter and Transmission parts is unsurpassed. Our inventory selection includes transmission crossmembers, transmission mounts, and transmission mount tail shaft brackets, along with transmission mount retainers, shims, and bolts to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","transmission-mounts-category.jpg","C1 Corvette Transmission Mounts (1953-1962)","1953-1962 C1 Corvette Transmission Mounts","Buy 1953-1962 Corvette Transmission Mounts online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Steering Upgrades","Default/53-62/Steering Systems","1","Yes","corvette-steering-upgrades","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Steering System parts is unsurpassed. Our inventory selection includes manual and power Steeroids rack and pinion kits to upgrade your steering and aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","c1-corvette-steering-upgrades-category.jpg","C1 Corvette Steering Upgrades (1953-1962)","Corvette Steering, C1, 1953-1962","Buy 1953-1962 Corvette Steering upgrades online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Steering Box","Default/53-62/Steering Systems","2","Yes","corvette-steering-box","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Steering System parts is unsurpassed. Our inventory selection includes steering box bearing kits, steering box grease and fitting kits, steering box shims, and cover gaskets, as well as steering box and steering column rebuild kits to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","steering-box-category.jpg","C1 Corvette Steering Box (1953-1962)","1953-1962 C1 Corvette Steering Box","Buy 1953-1962 Corvette Steering Box online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Steering Column","Default/53-62/Steering Systems","3","Yes","corvette-steering-column","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Steering System parts is unsurpassed. Our inventory selection includes horn buttons, steering wheels, and turn signal components, along with steering column components to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","steering-wheel-category_2.jpg","C1 Corvette Steering Column (1953-1962)","1953-1962 C1 Corvette Steering Column","Buy 1953-1962 Corvette Steering Column online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Steering Linkage","Default/53-62/Steering Systems","4","Yes","corvette-steering-linkage","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Steering System parts is unsurpassed. Our inventory selection includes third arm and fast steering adapters, tie rod ends and sleeves, and drag link and pitman arms to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","drag-link-pitman-arm-category.jpg","C1 Corvette Steering Linkage (1953-1962)","1953-1962 C1 Corvette Steering Linkage","Buy 1953-1962 Corvette Steering Linkage online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Driveshaft & Slip Yoke","Default/53-62/Suspension & Driveline","1","Yes","corvette-driveshaft-slip-yoke","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Suspension and Driveline parts is unsurpassed. Our inventory selection includes driveshafts with u-joints, driveshaft slip yokes, and driveshaft u-joints, along with driveshaft u-bolt kits, metal shields, and removal tools to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>
<p>Interested in reading more about Corvette Driveshaft U-Joints from Zip? Read all of our <a href=""http://blog.zip-corvette.com/?s=U-Joint"" target=""_blank"">Corvette U-Joint</a> related posts at Corvette Parts blog. Looking for a ""How-To"" instead? Visit CorvetteMagazine.com to read  <a href=""http://www.corvettemagazine.com/tech-articles/1956-1982-corvette-driveshaft-u-joint-replacement/"" target=""_blank"">1956-1982 Driveshaft U-Joint Replacement</a> and much more!</p>","driveshaft-slip-yoke-category.jpg","C1 Corvette Driveshaft & Slip Yoke (1953-1962)","1953-1962 C1 Corvette Driveshaft & Slip Yoke","Buy 1953-1962 Corvette Driveshaft & Slip Yoke online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Front Suspension","Default/53-62/Suspension & Driveline","2","Yes","corvette-front-suspension","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Suspension and Driveline parts is unsurpassed. Our inventory selection includes front sway bars, front spindles, and wheel bearings, along with shocks, springs, control arms, and shaft kits to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","control-arms-shaft-kits-category.jpg","C1 Corvette Front Suspension (1953-1962)","1953-1962 C1 Corvette Front Suspension","Buy 1953-1962 Corvette Front Suspension online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Rear Axle & Differential","Default/53-62/Suspension & Driveline","3","Yes","corvette-rear-axle-differential","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Suspension and Driveline parts is unsurpassed. Our inventory selection includes differential center sections, ring and pinion gears, and axle identification tags, as well as axle housings, bearings, gear lubricant, and rear end instruction decals to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","ring-pinion-gears-category.jpg","C1 Corvette Rear Axle & Differential (1953-1962)","1953-1962 C1 Corvette Rear Axle & Differential","Buy 1953-1962 Corvette Rear Axle & Differential online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Rear Suspension","Default/53-62/Suspension & Driveline","4","Yes","corvette-rear-suspension","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Suspension and Driveline parts is unsurpassed. Our inventory selection includes radius rods, rear axle bumpers, rear axle straps, and rear sway bars, along with springs, rear shocks, and mount components to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","rear-springs-category-main.jpg","C1 Corvette Rear Suspension (1953-1962)","1953-1962 C1 Corvette Rear Suspension","Buy 1953-1962 Corvette Rear Suspension online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping&#44; No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Suspension Packages","Default/53-62/Suspension & Driveline","5","Yes","corvette-suspension-packages","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Suspension and Driveline parts is unsurpassed. Our inventory selection includes front suspension rebuild kits and Delco shock sets to aid in your Corvette restoration. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","suspension-packages-category.jpg","C1 Corvette Suspension Packages (1953-1962)","1953-1962 C1 Corvette Suspension Packages","Buy 1953-1962 Corvette Suspension Packages online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Adhesives, Cleaners, Additives","Default/53-62/Weatherstrip","1","Yes","corvette-adhesives-cleaners-additives","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Weatherstrip parts is unsurpassed. Our inventory selection includes 3M adhesive cleaner, aerosol cleaner, and weatherstrip adhesive, along with fuel additive, oil additive, power steering conditioner, and spray grease to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","adhesives-cleaners-additives-category_1.jpg","C1 Corvette Adhesives, Cleaners, Additives (1953-1962)","1953-1962 C1 Corvette Adhesives, Cleaners, Additives","Buy Corvette Adhesives, Cleaners, Additives online at Zip. Specializing in Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Body Seal Kits","Default/53-62/Weatherstrip","2","Yes","corvette-body-seal-kits","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Weatherstrip parts is unsurpassed. Our inventory selection includes body seal kits to meet your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","body-seal-kits-category.jpg","C1 Corvette Body Seal Kits (1953-1962)","1953-1962 C1 Corvette Body Seal Kits","Buy 1953-1962 Corvette Body Seal Kits online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Body Weatherstrip","Default/53-62/Weatherstrip","3","Yes","corvette-body-weatherstrip","<p>Zip Corvette has the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Weatherstrip parts is unsurpassed. Our inventory selection includes trunk lid, deck lid, and cowl vent weatherstrip, along with hood ledge weatherstrip and hood air dam seals to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","body-weatherstrip-category.jpg","C1 Corvette Body Weatherstrip (1953-1962)","1953-1962 C1 Corvette Body Weatherstrip","Buy 1953-1962 Corvette Body Weatherstrip online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
"Door Weatherstrip","Default/53-62/Weatherstrip","4","Yes","corvette-door-weatherstrip","<p>Count on Zip Corvette for the best quality Corvette Parts available for your 1953-1962 Corvette. Whether youâ€™re maintaining your solid axle Corvette or completing a full restoration, our selection of C1 Corvette Weatherstrip parts is unsurpassed. Our inventory selection includes door main weatherstrip, door auxiliary weatherstrip, and drip rail weatherstrip, along with door post weatherstrip retainers, weatherstrip mount hole retainers, and door weatherstrip end retainer clips to fulfill your Corvette restoration needs. In addition, Zip stands behind all of our Corvette parts with our ""No-Hassle Guarantee"" - That\'s customer service the Zip way!</p>","door-weatherstrip-category.jpg","C1 Corvette Door Weatherstrip (1953-1962)","1953-1962 C1 Corvette Door Weatherstrip","Buy 1953-1962 Corvette Door Weatherstrip online at Zip. Specializing in C1 Chevrolet Corvette Parts since 1977. Same day shipping. No-Hassle Returns.","Yes","Products only","","Yes","","","No layout updates",""
